,$\alpha$,$\beta$,$\gamma$,$\delta$
NRMSE,0.1016661082465965,0.09978843849027756,0.09602836125905223,0.10788383304342317
Log Gamma,4.3453254701153465,4.84297765900685,3.085964523104732,3.4191794297804923
Calibration Error,0.007368421052631469,0.008789473684210514,0.022578947368421046,0.009789473684210542
Posterior Contraction,0.94197853496451,0.932927259021576,0.9440324258015804,0.9400183325169089
